Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
33,83,42,526,30,53,26,9,2,4,70,173,6.903333,Midfielder
29,80,38,519,69,35,18,3,11,0,81,185,7.093103,Attacker
8,50,5,9,5,3,1,0,1,0,76,180,6.6375,Attacker
19,71,22,307,31,26,11,4,5,1,77,182,6.963157,Attacker
32,77,37,1072,41,36,21,40,6,6,67,178,6.8375,Midfielder
34,76,47,772,43,50,22,25,8,10,70,174,6.811764,Midfielder
30,78,17,1003,13,40,25,62,0,8,70,175,6.775862,Defender
9,69,1,177,4,2,1,12,0,0,71,180,6.177777,Defender
30,82,46,999,32,129,71,19,6,6,80,185,6.963333,Midfielder
29,85,3,898,13,17,8,53,1,2,80,185,6.893103,Defender
31,84,86,1691,67,93,61,10,7,4,66,171,7.309677,Midfielder
25,73,14,665,16,25,9,67,1,6,78,180,6.916,Defender
37,65,16,290,99,112,40,4,12,6,78,180,6.772972,Attacker
3,72,0,6,3,0,0,0,1,0,72,185,6.75,Attacker
5,63,1,112,3,6,3,10,1,2,77,175,6.36,Defender
2,41,0,2,0,1,1,1,0,0,70,180,6.3,Midfielder
34,82,31,1975,19,40,30,118,1,13,75,179,7.32647,Midfielder
4,80,1,133,2,4,3,1,0,1,73,181,6.8,Midfielder
38,74,34,792,57,101,36,22,2,0,78,181,6.705263,Attacker
30,78,32,493,92,51,25,14,14,4,71,175,7.153333,Attacker
22,67,10,541,9,25,17,48,0,5,76,178,6.868181,Defender
36,76,20,1125,16,24,15,71,2,9,74,183,6.819444,Midfielder
32,75,4,760,3,0,0,68,1,6,81,187,7.121875,Defender
33,74,25,927,47,64,33,58,4,8,76,184,6.996969,Midfielder
36,82,73,2117,27,26,14,49,4,7,77,176,7.161111,Midfielder
31,74,24,353,37,106,49,11,4,6,68,171,6.683333,Attacker
36,78,57,1005,88,54,26,18,16,3,73,176,7.336111,Attacker
26,76,18,282,55,39,22,3,15,8,84,190,7.153846,Attacker
32,84,19,1522,14,34,27,86,0,5,74,184,7.2875,Midfielder
36,85,67,1905,50,53,32,41,5,12,74,182,7.147222,Midfielder
10,72,14,173,17,12,2,2,4,8,74,180,7.18,Attacker
1,73,0,25,1,1,0,4,0,0,82,184,6.8,Defender
26,83,4,867,13,12,9,60,2,4,78,184,6.930769,Defender
31,79,16,785,31,12,10,33,7,9,80,190,7.031034,Midfielder
35,81,34,686,85,147,71,14,10,5,73,181,6.882857,Midfielder
31,81,20,968,5,50,33,45,0,6,61,176,6.793548,Defender
8,75,8,65,6,21,8,2,0,2,66,173,6.6375,Midfielder
5,87,2,40,8,16,8,1,2,0,67,175,6.9,Midfielder
12,48,0,40,14,0,0,0,3,0,72,180,6.76,Attacker
3,38,0,12,0,0,0,8,0,1,75,180,6.45,Defender
18,68,6,508,7,4,1,51,0,3,80,182,6.738888,Defender
31,84,35,511,20,28,13,7,0,2,65,176,6.724137,Midfielder
28,84,35,637,27,68,35,13,3,2,75,179,6.775,Midfielder
28,83,6,1111,5,6,5,61,1,4,95,184,6.932142,Defender
37,85,45,1631,46,55,35,28,5,4,75,178,7.111111,Midfielder
37,71,32,762,82,95,47,30,13,6,77,180,7.116216,Attacker
36,73,7,1020,17,6,5,100,1,10,82,187,6.9,Defender
34,82,13,1563,41,14,13,61,3,10,76,182,7.044117,Defender
29,78,13,852,11,49,27,63,2,8,73,175,6.814814,Defender
6,74,1,105,1,1,0,3,0,1,71,178,6.35,Midfielder
28,72,20,495,69,21,12,7,12,4,93,189,7.067857,Attacker
35,75,8,337,48,22,5,3,11,7,69,172,6.621875,Attacker
26,74,7,709,10,2,2,56,2,6,80,185,7.007692,Defender
1,88,0,31,0,1,1,2,0,0,64,179,6.3,Midfielder
6,45,2,10,1,3,1,1,0,0,86,184,6.6,Attacker
35,82,40,862,41,130,81,15,7,5,65,170,6.934285,Attacker
34,74,7,1058,28,18,13,72,1,7,89,189,7.088235,Defender
29,60,27,383,16,135,65,51,1,3,73,175,6.555172,Attacker
23,69,11,516,15,27,12,55,1,6,71,184,6.67826,Defender
26,74,8,998,13,16,14,96,0,3,78,182,7.157692,Defender
33,75,19,790,10,52,25,36,1,3,76,177,6.721212,Defender
35,81,23,1371,42,77,36,62,3,9,79,181,6.831428,Defender
31,61,31,603,9,66,34,65,0,9,75,175,6.745161,Defender
27,77,24,846,10,24,11,32,1,3,77,182,6.738461,Defender
25,79,15,447,19,72,39,15,2,1,70,180,6.7,Defender
36,80,23,1401,20,16,9,76,1,9,81,180,7.091666,Midfielder
36,61,32,631,98,43,15,32,10,11,83,184,6.936111,Midfielder
23,74,12,401,12,24,10,8,2,2,68,170,6.426086,Midfielder
38,66,39,526,67,113,47,14,5,4,81,186,6.663157,Attacker
11,80,0,80,1,8,4,1,0,0,63,167,6.46,Midfielder
17,76,0,139,3,1,0,14,1,6,83,191,6.883333,Midfielder
31,79,21,1064,8,35,21,43,1,13,62,171,7.038709,Defender
36,76,24,1162,34,36,16,70,0,6,74,182,7.066666,Defender
25,66,2,481,9,1,0,54,1,8,72,185,6.728,Defender
1,40,0,2,0,1,1,0,0,0,69,178,6.2,Attacker
7,65,2,37,5,7,3,2,0,0,74,177,6.416666,Midfielder
16,77,10,602,18,16,11,23,1,2,69,181,7.05625,Midfielder
10,76,2,264,8,1,1,10,1,4,83,188,7.05,Defender
25,72,16,417,15,34,14,14,1,7,73,178,6.5625,Midfielder
28,68,6,159,23,43,17,14,1,3,65,170,6.351851,Defender
